numero;nimi;toimiala
11011112;11011112 Varhaiskasvatuksen ostopalvelut;Sivistystoimi
11011113;11011113 Vaka kerhotoiminnan palveluseteli;Sivistystoimi
11011114;11011114 Vaka p�iv�kotihoidon palveluseteli;Sivistystoimi
11011115;11011115 Varhaiskasvatuksen yhteinen hallinto;Sivistystoimi
11011169;11011169 Kulttuuripalvelujen muut avustukset ja ostot;Sivistystoimi
11013114;11013114 Opetuksen ja vakan korona-avustus 2023-2024;Sivistystoimi
11013115;11013115 Liikkuva koulu 2023;Sivistystoimi
11013202;11013202 kk Tavastialta laskutettava lukion kustannus;Sivistystoimi
11013221;11013221 Varhaiskasvatuksen yhteiset;Sivistystoimi
11013222;11013222 Lammin p�iv�koti;Sivistystoimi
11013223;11013223 Hauhon p�iv�koti;Sivistystoimi
11013224;11013224 Alvettulan p�iv�koti;Sivistystoimi
11013225;11013225 Etel�isten p�iv�koti;Sivistystoimi
11013226;11013226 Tuuloksen p�iv�koti;Sivistystoimi
11013229;11013229 Liivuoren p�iv�koti;Sivistystoimi
11013231;11013231 Hirsim�en p�iv�koti;Sivistystoimi
11013234;11013234 Iittalan p�iv�koti;Sivistystoimi
11013236;11013236 Sairion p�iv�koti;Sivistystoimi
11013237;11013237 Solvikin p�iv�koti;Sivistystoimi
11013239;11013239 Ojoisten p�iv�koti;Sivistystoimi
11013241;11013241 Kaivokadun p�iv�koti;Sivistystoimi
11013242;11013242 Hattelmalan p�iv�koti;Sivistystoimi
11013243;11013243 Kankaantaan p�iv�koti;Sivistystoimi
11013244;11013244 Rengon p�iv�koti;Sivistystoimi
11013245;11013245 Kutalan p�iv�koti;Sivistystoimi
11013247;11013247 Id�np��n p�iv�koti;Sivistystoimi
11013248;11013248 Siirin p�iv�koti;Sivistystoimi
11013249;11013249 Katuman p�iv�koti;Sivistystoimi
11013256;11013256 Varhaiskasvatuksen henkil�st�pooli;Sivistystoimi
11013258;11013258 Erityisvarhaiskasvatuksen tiimi;Sivistystoimi
11013259;11013259 Erityisvarhaiskasvatuksen avustajat;Sivistystoimi
11013269;11013269 Vakatuki;Sivistystoimi
11013271;11013271 Varhaiskasvatuksen johtamisen kehitt�minen;Sivistystoimi
11013305;11013305 Opetustoimen kouluohjaajat;Sivistystoimi
11013311;11013311 Konnarin koulu;Sivistystoimi
11013315;11013315 Hakkalan koulu;Sivistystoimi
11013316;11013316 Hauhon yhten�iskoulu;Sivistystoimi
11013317;11013317 Alvettulan koulu;Sivistystoimi
11013318;11013318 Etel�isten koulu;Sivistystoimi
11013319;11013319 Tuuloksen koulu;Sivistystoimi
11013322;11013322 Jukolan koulu;Sivistystoimi
11013323;11013323 Luolajan koulu;Sivistystoimi
11013324;11013324 Nummen yhten�iskoulu;Sivistystoimi
11013325;11013325 Iittalan koulu;Sivistystoimi
11013331;11013331 Lyseon koulu;Sivistystoimi
11013332;11013332 Kaurialan koulu;Sivistystoimi
11013333;11013333 Kirkonkulman koulu;Sivistystoimi
11013334;11013334 Miemalan koulu;Sivistystoimi
11013335;11013335 Myllym�en koulu;Sivistystoimi
11013337;11013337 Vuorentaan koulu;Sivistystoimi
11013338;11013338 Rengon koulu;Sivistystoimi
11013342;11013342 Saaristen koulu;Sivistystoimi
11013352;11013352 Ruununmyllyn koulu;Sivistystoimi
11013353;11013353 Ortelan koulu;Sivistystoimi
11013354;11013354 Seminaarin koulu;Sivistystoimi
11013481;11013481 Kulttuurikeskus ARX;Sivistystoimi
11013483;11013483 Seudullinen lastenkulttuuri;Sivistystoimi
11013484;11013484 Aimo-koulu I;Sivistystoimi
11013485;11013485 Aimo-koulu II;Sivistystoimi
11013486;11013486 Nuorisopalvelut;Sivistystoimi
11013487;11013487 Etsiv� nuorisoty�;Sivistystoimi
11013495;11013495 Alueellinen nuorisoty�;Sivistystoimi
11013499;11013499 Nuorisovaltuusto;Sivistystoimi
11013501;11013501 Kirjastopalvelut;Sivistystoimi
11013503;11013503 Kirjaston projektit;Sivistystoimi
11011103;11011103 Lapsiyst�v�llinen kunta;Sosiaali ja terveys
11011484;11011484 Sosiaalipalkkalis�t;Sosiaali ja terveys
11011745;11011745 Ty�terveyshuolto;Sosiaali ja terveys
11011997;11011997 Sosiaali- ja terveystoimen tulot ja menot tilik. 2023 alk.;Sosiaali ja terveys
11013253;11013253 Perhep�iv�hoito;Sosiaali ja terveys
11013714;11013714 Lapsiyst�v�llinen kunta;Sosiaali ja terveys
11011111;11011111 Lasten kotihoidon ja yksityisen hoidon tuki;Sosiaali ja terveys
11011131;11011131 Lasten aamu- ja iltap�iv�toiminta, osto;Sivistystoimi
11011132;11011132 Perusopetuksen kuntakorvaus;Sivistystoimi
11011137;11011137 Opetuksen hallinto;Sivistystoimi
11011149;11011149 Sivistys- ja hyvinvointilautakunta;Sivistystoimi
11011155;11011155 Sivistyksen ja hyvinvoinnin toimialan yhteinen hallinto;Sivistystoimi
11011167;11011167 Konserttitoiminta;Sivistystoimi
11011171;11011171 Liikunnan yleiset kustannukset;Tekniset palvelut
11011173;11011173 Liikuntatoiminta ja -ohjaus;Tekniset palvelut
11011202;11011202 K-H TYP moniammatillinen tiimi;Talous ja hallinto
11011283;11011283 Ty�llisyyden edist�minen;Talous ja hallinto
11011286;11011286 Loikka-hanke;Talous ja hallinto
11011287;11011287 Flat Loikka-hanke;Talous ja hallinto
11011403;11011403 Kaupunkirakennelautakunta;Talous ja hallinto
11011404;11011404 Kaupunkirakenteen hallinto;Talous ja hallinto
11011405;11011405 Joukkoliikenteen hankkeet;Tekniset palvelut
11011422;11011422 Pilaantuneet maat;Tekniset palvelut
11011426;11011426 Pys�k�inti- ja aluevalvonta;Tekniset palvelut
11011433;11011433 Omajohtoinen rakentaminen;Tekniset palvelut
11011441;11011441 Maaomaisuuden hallinta;Tekniset palvelut
11011451;11011451 Kaavoitus;Tekniset palvelut
11011471;11011471 Kadut ja tiet;Tekniset palvelut
11011476;11011476 Erityiskohteet;Talous ja hallinto
11011478;11011478 L�jitys, maan ja lumen;Tekniset palvelut
11011479;11011479 Torien ja yleisten alueiden kp;Tekniset palvelut
11011481;11011481 Korjaamopalvelut;Tekniset palvelut
11011482;11011482 Viheralueiden kunnossapito;Tekniset palvelut
11011483;11011483 Kunnossapidon ulkoiset laskutettavat ty�t;Tekniset palvelut
11011486;11011486 Ulkovalaistus;Tekniset palvelut
11011487;11011487 Kunnossapidon sis�iset laskutusty�t;Tekniset palvelut
11011496;11011496 Tilojen rakennuttaminen;Tekniset palvelut
11011512;11011512 El�inl��kint�huolto;Sosiaali ja terveys
11011514;11011514 Talteenotettujen el�inten huostaanotto;Sosiaali ja terveys
11011515;11011515 Ilmanlaadun tarkkailu;Tekniset palvelut
11011521;11011521 Rakennusvalvonta;Tekniset palvelut
11011581;11011581 Liikunta-alueiden kp;Tekniset palvelut
11011582;11011582 Kent�t;Tekniset palvelut
11011583;11011583 Ladut ja hiihtokeskukset;Tekniset palvelut
11011584;11011584 Uimarannat ja uimapaikat;Tekniset palvelut
11011585;11011585 Ulkoilualueet;Tekniset palvelut
11011588;11011588 K�mp�t ja laavut;Tekniset palvelut
11011589;11011589 Tulipaikat;Tekniset palvelut
11011591;11011591 Muut rakenteet;Tekniset palvelut
11011592;11011592 Polkureitit;Tekniset palvelut
11011594;11011594 Mets�luonto;Tekniset palvelut
11011595;11011595 Viljelypalstat;Tekniset palvelut
11011597;11011597 Vuokrattavat venepaikat;Tekniset palvelut
11011599;11011599 Vanajan Jalavat UUDELY/2279/2024;Talous ja hallinto
11011701;11011701 Kaupunginvaltuusto;Talous ja hallinto
11011702;11011702 Kaupunginhallitus;Talous ja hallinto
11011705;11011705 J�senmaksut;Talous ja hallinto
11011721;11011721 Kaupungin johto;Talous ja hallinto
11011722;11011722 Johtoryhm�n ty�skentely;Talous ja hallinto
11011724;11011724 Markkinointiyhteisty� ja tapahtumat;Talous ja hallinto
11011731;11011731 Talouspalvelut;Talous ja hallinto
11011732;11011732 Hallintopalvelut;Talous ja hallinto
11011733;11011733 Raatihuone;Tekniset palvelut
11011734;11011734 Muut kokoustilat;Tekniset palvelut
11011736;11011736 Kaupunginarkisto;Tekniset palvelut
11011741;11011741 Henkil�st�hallinto;Talous ja hallinto
11011742;11011742 Henkil�st�n kehitt�minen;Talous ja hallinto
11011743;11011743 Virkistystoiminta;Talous ja hallinto
11011744;11011744 Ty�paikkaruokailu;Talous ja hallinto
11011746;11011746 Ty�suojelu;Talous ja hallinto
11011747;11011747 Ammattiyhdistystoiminta;Talous ja hallinto
11011748;11011748 Lahjagalleria;Talous ja hallinto
11011749;11011749 Lomaosakkeet;Tekniset palvelut
11011771;11011771 Omistajaohjaus;Talous ja hallinto
11011772;11011772 Hankintapalvelut;Talous ja hallinto
11011779;11011779 Kansalaistoiminta;Talous ja hallinto
11011781;11011781 Kehitt�mispalvelut;Talous ja hallinto
11011783;11011783 Elinkeinokehitt�minen;Talous ja hallinto
11011786;11011786 Maaseutupalvelut;Talous ja hallinto
11011789;11011789 Viestint�;Talous ja hallinto
11011792;11011792 Suomen kasvuk�yt�v�;Talous ja hallinto
11011795;11011795 Kastelli;Talous ja hallinto
11011799;11011799 Osallistava budjetointi;Talous ja hallinto
11011801;11011801 Tietohallinto;Talous ja hallinto
11011802;11011802 Tietohallinnon keskitetyt palvelut;Talous ja hallinto
11011803;11011803 Kehitt�mishankkeet;Talous ja hallinto
11011804;11011804 Tietoj�rjestelmien yhteensovittaminen;Talous ja hallinto
11011805;11011805 Palvelukohtaiset operatiiviset kustannukset;Talous ja hallinto
11011811;11011811 Yleinen kehitt�mistoiminta;Talous ja hallinto
11011846;11011846 Markkinointi;Talous ja hallinto
11011862;11011862 Vammaisneuvosto;Sosiaali ja terveys
11011863;11011863 Vanhusneuvosto;Sosiaali ja terveys
11011871;11011871 Varautuminen ja valmiustoiminta;Talous ja hallinto
11011913;11011913 Presidentinvaali;Talous ja hallinto
11011914;11011914 Eu-vaalit;Talous ja hallinto
11011921;11011921 Tarkastuslautakunta;Talous ja hallinto
11011933;11011933 Kotoutumispalvelut;Sosiaali ja terveys
11011935;11011935 Flat Kohti uutta - Nuorten ohjauksellinen toimintamal (NUPA);Sivistystoimi
11011936;11011936 Tiedolla mukaan II -hanke;Talous ja hallinto
11011937;11011937 Hautausj�rjestelyt;Sosiaali ja terveys
11011938;11011938 Konsernipalvelujen yhteiset kustannukset;Talous ja hallinto
11011939;11011939 Kansainv�inen toiminta;Talous ja hallinto
11011941;11011941 Opiskelijoiden ty�llistymisen ja pitovoiman edist�minen K-H;Sivistystoimi
11011942;11011942 Flat Opiskelijoiden ty�llistymisen ja pitovoiman edist�minen;Sivistystoimi
11011943;11011943 H�me Smart Growth -hanke;Talous ja hallinto
11011954;11011954 Tilannekuvan levitt�minen ja jatkokehitt�minen;Talous ja hallinto
11011955;11011955 Hyvin sanottu -keskustelufestivaali;Talous ja hallinto
11011956;11011956 Digikilta 4;Talous ja hallinto
11011959;11011959 Data-analytiikalla tehoa Hml matkailun ja liikkumisen tiedol;Talous ja hallinto
11011962;11011962 Kasvukaupungit;Talous ja hallinto
11013112;11013112 Kerhoiloa 2023;
11013116;11013116 Kest�v�n el�m�ntavan opinpolku;Sivistystoimi
11013117;11013117 Yhteis�llinen opiskeluhuolto;Sivistystoimi
11013118;11013118 Kuntien lukevat yhteis�t;Sivistystoimi
11013119;11013119 Esi- ja perusopetuksen tasa-arvoraha 2024;Sivistystoimi
11013121;11013121 Jengiytymisen est�minen;Sosiaali ja terveys
11013122;11013122 Harrastus ihan l�hell� (HIL) 2023-24;Sivistystoimi
11013123;11013123 HIL Kehitt�mishanke;Sivistystoimi
11013124;11013124 Teko�lyll� tuloksia kieltenopetukseen;Sivistystoimi
11013125;11013125 Kerhoiloa 2024;Sivistystoimi
11013128;11013128 Yhteis�llinen opiskeluhuolto 2024-2025;Sivistystoimi
11013129;11013129 HIL 2024-2025;Sivistystoimi
11013133;11013133 Mikromuovij��m�tutkimus;Tekniset palvelut
11013205;11013205 OmaH�meelt� laskutettava ap-ip -toiminta;Sivistystoimi
11013252;11013252 Asiakasvastaavat p�iv�kodin johtajat;Sivistystoimi
11013272;11013272 VOPEKA 3;Talous ja hallinto
11013304;11013304 Perusopetuksen yhteiset;Sivistystoimi
11013306;11013306 AP-IP -toiminta;Sivistystoimi
11013351;11013351 HYK;Talous ja hallinto
11013355;11013355 Oman �idinkielen opetus;Sivistystoimi
11013482;11013482 Hippalot;Talous ja hallinto
11013511;11013511 Taidemuseo;Sivistystoimi
11013512;11013512 H�meenlinnan kaupunginmuseo;Sivistystoimi
11013541;11013541 Pelitila Bunkkeri;Sivistystoimi
11013544;11013544 Ohjaamo;Talous ja hallinto
11013548;11013548 Yleis�palvelut;Talous ja hallinto
11013551;11013551 Valoilmi�;Talous ja hallinto
11013553;11013553 Hyv� H�mis;Talous ja hallinto
11013561;11013561 H�X;Talous ja hallinto
11013562;11013562 Taidetestaajat 2023-2024;Sivistystoimi
11013711;11013711 Pys�kki;Talous ja hallinto
11013712;11013712 Ehk�isev� p�ihdety�;Sosiaali ja terveys
11013713;11013713 HYTE;Talous ja hallinto
11090001;11090001 Kiinte�omaisuus;Tekniset palvelut
11091001;11091001 Talonrakennus;Tekniset palvelut
11093001;11093001 Kunnallistekniikka;Tekniset palvelut
11095001;11095001 Irtain omaisuus;Talous ja hallinto
11011402;11011402 Joukkoliikennepalvelut;Tekniset palvelut
11011421;11011421 Infran suunnittelu;Tekniset palvelut
11011425;11011425 Lupa-asiat, Infra;Tekniset palvelut
11011428;11011428 Infran rakennuttamisen hallinto;Tekniset palvelut
11011473;11011473 Kevytliikenne;Tekniset palvelut
11011474;11011474 Liikennej�rjestelm�t;Tekniset palvelut
11011485;11011485 Hulevesi;Tekniset palvelut
11011511;11011511 Ymp�rist�terveydenhuolto;Tekniset palvelut
11011513;11011513 Ymp�rist�nsuojelu;Tekniset palvelut
11011551;11011551 Yhteinen j�telautakunta;Tekniset palvelut
11011586;11011586 Kansallinen kaupunkipuisto;Tekniset palvelut
11011593;11011593 Ranta- ja vesialueet;Tekniset palvelut
11011788;11011788 Vanajavesikeskus-hanke;Tekniset palvelut
11011461;11011461 Kiinteist�- ja mittauspalvelut;Tekniset palvelut
11011494;11011494 Tilapalvelun hallinto;Tekniset palvelut
11011495;11011495 Kiinteist�yksikk�;Tekniset palvelut
11011506;11011506 Kiinteist�palveluyksikk�;Tekniset palvelut